Year,Department or agency,Province or territory of work,Number of employees
2017,Health Canada,Yukon,14
2017,Immigration and Refugee Board of Canada,Alberta,13
2017,Immigration and Refugee Board of Canada,British Columbia,102
2017,Immigration and Refugee Board of Canada,National Capital Region (NCR),310
2017,Immigration and Refugee Board of Canada,Ontario (minus the NCR),402
2017,Immigration and Refugee Board of Canada,Quebec (minus the NCR),201
2017,Immigration and Refugee Board of Canada,Unknown,3
2017,"Immigration, Refugees and Citizenship Canada",Alberta,325
2017,"Immigration, Refugees and Citizenship Canada",British Columbia,203
2017,"Immigration, Refugees and Citizenship Canada",Manitoba,56
2017,"Immigration, Refugees and Citizenship Canada",National Capital Region (NCR),3532
2017,"Immigration, Refugees and Citizenship Canada",New Brunswick,10
2017,"Immigration, Refugees and Citizenship Canada",Newfoundland and Labrador,5
2017,"Immigration, Refugees and Citizenship Canada",Northwest Territories,1
2017,"Immigration, Refugees and Citizenship Canada",Nova Scotia,707
2017,"Immigration, Refugees and Citizenship Canada",Ontario (minus the NCR),731
2017,"Immigration, Refugees and Citizenship Canada",Outside of Canada,223
2017,"Immigration, Refugees and Citizenship Canada",Quebec (minus the NCR),533
2017,"Immigration, Refugees and Citizenship Canada",Saskatchewan,31
2017,"Immigration, Refugees and Citizenship Canada",Unknown,108
2017,Impact Assessment Agency of Canada,Alberta,9
2017,Impact Assessment Agency of Canada,British Columbia,33
2017,Impact Assessment Agency of Canada,National Capital Region (NCR),196
2017,Impact Assessment Agency of Canada,Nova Scotia,14
2017,Impact Assessment Agency of Canada,Ontario (minus the NCR),19
2017,Impact Assessment Agency of Canada,Quebec (minus the NCR),13
2017,Impact Assessment Agency of Canada,Unknown,5
2017,Indian Oil and Gas Canada,Alberta,87
2017,Indian Oil and Gas Canada,Unknown,1
2017,Infrastructure Canada,National Capital Region (NCR),307
2017,Infrastructure Canada,Quebec (minus the NCR),12
2017,Infrastructure Canada,Unknown,10
2017,"Innovation, Science and Economic Development Canada",Alberta,89
2017,"Innovation, Science and Economic Development Canada",British Columbia,157
2017,"Innovation, Science and Economic Development Canada",Manitoba,47
2017,"Innovation, Science and Economic Development Canada",National Capital Region (NCR),3897
2017,"Innovation, Science and Economic Development Canada",New Brunswick,21
2017,"Innovation, Science and Economic Development Canada",Newfoundland and Labrador,13
2017,"Innovation, Science and Economic Development Canada",Northwest Territories,1
2017,"Innovation, Science and Economic Development Canada",Nova Scotia,49
2017,"Innovation, Science and Economic Development Canada",Ontario (minus the NCR),360
2017,"Innovation, Science and Economic Development Canada",Prince Edward Island,1
2017,"Innovation, Science and Economic Development Canada",Quebec (minus the NCR),251
2017,"Innovation, Science and Economic Development Canada",Saskatchewan,27
2017,"Innovation, Science and Economic Development Canada",Unknown,34
2017,International Joint Commission,National Capital Region (NCR),23
2017,International Joint Commission,Ontario (minus the NCR),8
2017,International Joint Commission,Unknown,1
2017,Library and Archives Canada,British Columbia,7
2017,Library and Archives Canada,Manitoba,22
2017,Library and Archives Canada,National Capital Region (NCR),891
2017,Library and Archives Canada,Nova Scotia,1
2017,Library and Archives Canada,Unknown,9
2017,Military Grievances External Review Committee,National Capital Region (NCR),37
2017,Military Grievances External Review Committee,Unknown,2
2017,Military Police Complaints Commission of Canada,National Capital Region (NCR),25
2017,National Defence,Alberta,1689
2017,National Defence,British Columbia,2271
2017,National Defence,Manitoba,779
2017,National Defence,National Capital Region (NCR),7945
2017,National Defence,New Brunswick,853
2017,National Defence,Newfoundland and Labrador,95
2017,National Defence,Northwest Territories,27
2017,National Defence,Nova Scotia,2814
2017,National Defence,Ontario (minus the NCR),3611
2017,National Defence,Outside of Canada,6
2017,National Defence,Prince Edward Island,5
2017,National Defence,Quebec (minus the NCR),2776
2017,National Defence,Saskatchewan,146
2017,National Defence,Unknown,160
2017,National Defence,Yukon,1
2017,National Film Board,Alberta,7
2017,National Film Board,British Columbia,20
2017,National Film Board,Manitoba,3
2017,National Film Board,New Brunswick,3
2017,National Film Board,Newfoundland and Labrador,2
2017,National Film Board,Nova Scotia,5
2017,National Film Board,Ontario (minus the NCR),23
2017,National Film Board,Quebec (minus the NCR),308
2017,National Research Council Canada,Alberta,112
2017,National Research Council Canada,British Columbia,278
2017,National Research Council Canada,Manitoba,49
2017,National Research Council Canada,National Capital Region (NCR),2195
2017,National Research Council Canada,New Brunswick,40
2017,National Research Council Canada,Newfoundland and Labrador,99
2017,National Research Council Canada,Nova Scotia,116
2017,National Research Council Canada,Ontario (minus the NCR),129
2017,National Research Council Canada,Prince Edward Island,24
2017,National Research Council Canada,Quebec (minus the NCR),644
2017,National Research Council Canada,Saskatchewan,110
2017,National Research Council Canada,Unknown,68
2017,Natural Resources Canada,Alberta,300
2017,Natural Resources Canada,British Columbia,210
2017,Natural Resources Canada,Manitoba,5
2017,Natural Resources Canada,National Capital Region (NCR),2505
2017,Natural Resources Canada,New Brunswick,61
2017,Natural Resources Canada,Newfoundland and Labrador,19
2017,Natural Resources Canada,Northwest Territories,7
2017,Natural Resources Canada,Nova Scotia,61
2017,Natural Resources Canada,Nunavut,7
2017,Natural Resources Canada,Ontario (minus the NCR),258
2017,Natural Resources Canada,Prince Edward Island,1
2017,Natural Resources Canada,Quebec (minus the NCR),379
2017,Natural Resources Canada,Saskatchewan,8
2017,Natural Resources Canada,Unknown,438
2017,Natural Resources Canada,Yukon,5
2017,Natural Sciences and Engineering Research Canada,British Columbia,4
2017,Natural Sciences and Engineering Research Canada,Manitoba,4
2017,Natural Sciences and Engineering Research Canada,National Capital Region (NCR),416
2017,Natural Sciences and Engineering Research Canada,New Brunswick,5
2017,Natural Sciences and Engineering Research Canada,Ontario (minus the NCR),5
2017,Natural Sciences and Engineering Research Canada,Quebec (minus the NCR),4
2017,Natural Sciences and Engineering Research Canada,Unknown,4
2017,Office of the Auditor General of Canada,Alberta,12
2017,Office of the Auditor General of Canada,British Columbia,18
2017,Office of the Auditor General of Canada,National Capital Region (NCR),560
2017,Office of the Auditor General of Canada,Nova Scotia,9
2017,Office of the Auditor General of Canada,Quebec (minus the NCR),17
2017,Office of the Auditor General of Canada,Unknown,1
2017,Office of the Commissioner for Federal Judicial Affairs Canada,National Capital Region (NCR),57
2017,Office of the Commissioner for Federal Judicial Affairs Canada,Unknown,2
2017,Office of the Commissioner of Lobbying of Canada,National Capital Region (NCR),22
2017,Office of the Commissioner of Lobbying of Canada,Unknown,2
2017,Office of the Commissioner of Official Languages,Alberta,3
2017,Office of the Commissioner of Official Languages,Manitoba,3
2017,Office of the Commissioner of Official Languages,National Capital Region (NCR),134
2017,Office of the Commissioner of Official Languages,New Brunswick,4
2017,Office of the Commissioner of Official Languages,Ontario (minus the NCR),3
2017,Office of the Commissioner of Official Languages,Quebec (minus the NCR),4
2017,Office of the Commissioner of Official Languages,Saskatchewan,1
2017,Office of the Commissioner of Official Languages,Unknown,3
2017,Office of the Governor General's Secretary,National Capital Region (NCR),146
2017,Office of the Governor General's Secretary,Quebec (minus the NCR),2
2017,Office of the Governor General's Secretary,Unknown,1
2017,Office of the Public Sector Integrity Commissioner of Canada,National Capital Region (NCR),21
2017,Office of the Public Sector Integrity Commissioner of Canada,Unknown,3
2017,Office of the Superintendent of Financial Institutions Canada,British Columbia,14
2017,Office of the Superintendent of Financial Institutions Canada,National Capital Region (NCR),310
2017,Office of the Superintendent of Financial Institutions Canada,Ontario (minus the NCR),345
2017,Office of the Superintendent of Financial Institutions Canada,Quebec (minus the NCR),18
2017,Office of the Superintendent of Financial Institutions Canada,Unknown,1
2017,Offices of the Information and Privacy Commissioners of Canada,National Capital Region (NCR),233
2017,Offices of the Information and Privacy Commissioners of Canada,Ontario (minus the NCR),6
2017,Offices of the Information and Privacy Commissioners of Canada,Unknown,22
2017,Parks Canada,Alberta,714
2017,Parks Canada,British Columbia,413
2017,Parks Canada,Manitoba,184
2017,Parks Canada,National Capital Region (NCR),579
2017,Parks Canada,New Brunswick,101
2017,Parks Canada,Newfoundland and Labrador,139
2017,Parks Canada,Northwest Territories,80
2017,Parks Canada,Nova Scotia,285
2017,Parks Canada,Nunavut,39
2017,Parks Canada,Ontario (minus the NCR),572
2017,Parks Canada,Prince Edward Island,72
2017,Parks Canada,Quebec (minus the NCR),431
2017,Parks Canada,Saskatchewan,137
2017,Parks Canada,Unknown,169
2017,Parks Canada,Yukon,61
2017,Parole Board of Canada,Alberta,38
2017,Parole Board of Canada,British Columbia,49
2017,Parole Board of Canada,National Capital Region (NCR),155
2017,Parole Board of Canada,New Brunswick,38
2017,Parole Board of Canada,Ontario (minus the NCR),60
2017,Parole Board of Canada,Quebec (minus the NCR),70
2017,Parole Board of Canada,Saskatchewan,36
2017,Parole Board of Canada,Unknown,2
2017,Patented Medicine Prices Review Board Canada,National Capital Region (NCR),65
2017,Patented Medicine Prices Review Board Canada,Unknown,4
2017,Polar Knowledge Canada,National Capital Region (NCR),24
2017,Polar Knowledge Canada,Nunavut,2
2017,Polar Knowledge Canada,Unknown,1
2017,Privy Council Office,British Columbia,6
2017,Privy Council Office,National Capital Region (NCR),749
2017,Privy Council Office,Unknown,44
2017,Public Health Agency of Canada,Alberta,34
2017,Public Health Agency of Canada,British Columbia,41
2017,Public Health Agency of Canada,Manitoba,482
2017,Public Health Agency of Canada,National Capital Region (NCR),1338
2017,Public Health Agency of Canada,New Brunswick,3
2017,Public Health Agency of Canada,Newfoundland and Labrador,4
2017,Public Health Agency of Canada,Nova Scotia,32
2017,Public Health Agency of Canada,Nunavut,6
2017,Public Health Agency of Canada,Ontario (minus the NCR),163
2017,Public Health Agency of Canada,Prince Edward Island,2
2017,Public Health Agency of Canada,Quebec (minus the NCR),75
2017,Public Health Agency of Canada,Saskatchewan,13
2017,Public Health Agency of Canada,Unknown,36
2017,Public Health Agency of Canada,Yukon,5
2017,Public Prosecution Service of Canada,Alberta,115
2017,Public Prosecution Service of Canada,British Columbia,90
2017,Public Prosecution Service of Canada,Manitoba,41
2017,Public Prosecution Service of Canada,National Capital Region (NCR),256
2017,Public Prosecution Service of Canada,New Brunswick,9
2017,Public Prosecution Service of Canada,Newfoundland and Labrador,10
2017,Public Prosecution Service of Canada,Northwest Territories,45
2017,Public Prosecution Service of Canada,Nova Scotia,44
2017,Public Prosecution Service of Canada,Nunavut,39
2017,Public Prosecution Service of Canada,Ontario (minus the NCR),180
2017,Public Prosecution Service of Canada,Quebec (minus the NCR),83
2017,Public Prosecution Service of Canada,Saskatchewan,29
2017,Public Prosecution Service of Canada,Unknown,17
2017,Public Prosecution Service of Canada,Yukon,32
2017,Public Safety Canada,Alberta,7
2017,Public Safety Canada,British Columbia,18
2017,Public Safety Canada,Manitoba,9
2017,Public Safety Canada,National Capital Region (NCR),1024
2017,Public Safety Canada,New Brunswick,8
2017,Public Safety Canada,Newfoundland and Labrador,5
2017,Public Safety Canada,Northwest Territories,1
2017,Public Safety Canada,Nova Scotia,15
2017,Public Safety Canada,Ontario (minus the NCR),15
2017,Public Safety Canada,Prince Edward Island,2
2017,Public Safety Canada,Quebec (minus the NCR),19
2017,Public Safety Canada,Saskatchewan,8
2017,Public Safety Canada,Unknown,18
2017,Public Service Commission of Canada,British Columbia,9
2017,Public Service Commission of Canada,National Capital Region (NCR),695
2017,Public Service Commission of Canada,Nova Scotia,10
2017,Public Service Commission of Canada,Ontario (minus the NCR),16
2017,Public Service Commission of Canada,Quebec (minus the NCR),38
2017,Public Service Commission of Canada,Unknown,12
2017,Public Services and Procurement Canada,Alberta,360
2017,Public Services and Procurement Canada,British Columbia,476
2017,Public Services and Procurement Canada,Manitoba,174
2017,Public Services and Procurement Canada,National Capital Region (NCR),7967
2017,Public Services and Procurement Canada,New Brunswick,1545
2017,Public Services and Procurement Canada,Newfoundland and Labrador,93
2017,Public Services and Procurement Canada,Northwest Territories,20
2017,Public Services and Procurement Canada,Nova Scotia,392
2017,Public Services and Procurement Canada,Nunavut,4
2017,Public Services and Procurement Canada,Ontario (minus the NCR),506
2017,Public Services and Procurement Canada,Outside of Canada,2
2017,Public Services and Procurement Canada,Prince Edward Island,45
2017,Public Services and Procurement Canada,Quebec (minus the NCR),1146
2017,Public Services and Procurement Canada,Saskatchewan,47
2017,Public Services and Procurement Canada,Unknown,113
